titulo;nota_media;votos;data_lancamento;idioma_original;idioma;generos;diretor;descricao;poster_url;duracao_minutos;popularidade
Cassino;7,999;6084;1995-11-22;en;Inglês;Crime, Drama;Martin Scorsese;"No início dos anos 70, em Las Vegas, Sam ""Ace"" Rothstein é escolhido pelos seus chefes para dirigir o Cassino Tangiers. No início, ele é um grande sucesso no cargo, mas com o passar dos anos, problemas com o seu executor Nicky Santoro, a sua ex-mulher Ginger, o seu ex-vigarista Lester Diamond e um punhado de políticos corruptos colocam Sam em perigo cada vez maior.";https://image.tmdb.org/t/p/w500/9lQhVKh5645tzajA0dOcb3TTEuY.jpg;179;5,7506
Cidadão Kane;7,999;5705;1941-04-17;en;Inglês;Mistério, Drama;Orson Welles;"Charles Foster Kane foi um menino pobre que acaba se tornando um dos homens mais ricos do mundo. O filme inicia com a sua morte, momentos antes da qual pronuncia a palavra ""Rosebud"". Após dias de sensacionalismo em cima da notícia de sua morte, o jornalista Jerry Thompson é enviado por seu chefe para investigar a vida de Kane, a fim de descobrir o sentido de sua última palavra, a qual ninguém sabia. Entrevistando pessoas do passado de Kane, o jornalista mergulha na vida de um homem solitário, que desde a infância é obrigado a seguir a vontade alheia. Ninguém a seu redor importa-se com Kane, que busca por meio da aquisição de bens a adoração das pessoas. Ao final, Thompson, após a exaustiva investigação da vida de Kane através de entrevistas, se vê incapaz de descobrir o significado da palavra, concluindo que ""Charles Foster Kane foi um homem que possuiu tudo o que quis e depois perdeu tudo. Talvez Rosebud seja algo que ele nunca tenha possuído ou algo que tenha perdido"".";https://image.tmdb.org/t/p/w500/7RdvqkBX2gi6kiZ2yySeRqeClur.jpg;119;4,7559
Kill Bill: O Inteiro Caso Sangrento;7,998;1060;2011-03-27;en;Inglês;Ação, Crime, Thriller;Quentin Tarantino;;https://image.tmdb.org/t/p/w500/mX5DiayFJqOWBar9EWokL9TTtnV.jpg;247;2,9707
3 Idiotas;7,997;2498;2009-12-23;hi;Hindi;Drama, Comédia;Rajkumar Hirani;Farhan e Raju partem em busca de seu amigo e colega de faculdade há muito desaparecido, Rancho. No decorrer desta aventura, serão confrontados com uma antiga aposta esquecida, um casamento que terão de entrar de penetras e um funeral que não correrá como planejado.;https://image.tmdb.org/t/p/w500/gmSRHU1Wtiatj8KoyVt8rT9ockx.jpg;164;5,8486
A Sociedade da Neve;7,996;3184;2023-12-15;es;Espanhol;Drama, História;J. A. Bayona;Em 13 de outubro de 1972, o voo 571 da Força Aérea Uruguaia, fretado para levar um time de rúgbi ao Chile, cai em uma geleira no coração da Cordilheira dos Andes.;https://image.tmdb.org/t/p/w500/7fQTmvKgVGxifieVryqqlxohkoW.jpg;144;7,6335
A Irmandade da Guerra;7,996;720;2004-02-05;ko;Coreano;Ação, Aventura, Drama, História, Guerra;강제규;Jin-tae, um sapateiro, trabalha incansavelmente para poder pagar a faculdade de seu irmão mais novo Jin-seok, entretanto, seus desejos e sonhos são colocados de lado quando os dois são forçados a entrar no exército contra suas vontades. No momento crucial da batalha, o destino intervém, forçando seus laços de fé, amor e confiança a serem testados diversas vezes.;https://image.tmdb.org/t/p/w500/gqGZehMFRo2fnrSxWUitCH8cLfi.jpg;148;2,2135
Lawrence da Arábia;7,996;3178;1962-12-11;en;Inglês;Aventura, História, Guerra;David Lean;Graças ao seu conhecimento dos beduínos, o oficial britânico T.E. Lawrence é enviado à Arábia para encontrar o príncipe Faisal e servir de ligação entre árabes e ingleses na luta contra os turcos. Com a ajuda do nativo xerife Ali, Lawrence se rebela contra as ordens de seus superiores e enfrenta uma jornada através do deserto para atacar um porto turco bem protegido.;https://image.tmdb.org/t/p/w500/r0xZR5ENEc8Pp2ULhkP4lgUWk8Y.jpg;216;6,1069
Com Amor, Simon;7,994;6109;2018-02-16;en;Inglês;Comédia, Drama, Romance;Greg Berlanti;Aos 17 anos, Simon Spier aparentemente leva uma vida comum, mas sofre por esconder um grande segredo: nunca revelou ser gay para sua família e amigos. E tudo fica mais complicado quando ele se apaixona por um dos colegas de escola, anônimo, com quem troca confidências diariamente via internet.;https://image.tmdb.org/t/p/w500/qwGowTpFQTgCcByfoP2xzXVReGl.jpg;110;3,5504
O Jogo da Imitação;7,994;17399;2014-11-14;en;Inglês;História, Drama, Thriller, Guerra;Morten Tyldum;"Em 1939, a recém-criada agência de inteligência britânica MI6 recruta Alan Turing, um aluno da Universidade de Cambridge, para entender códigos nazistas, incluindo o ""Enigma"", que criptógrafos acreditavam ser inquebrável. A equipe de Turing, incluindo Joan Clarke, analisa as mensagens de ""Enigma"", enquanto ele constrói uma máquina para decifrá-las.";https://image.tmdb.org/t/p/w500/bwWCFjhwrs5my4FUoeWdTa2GYlB.jpg;113;10,9351
Com Amor, Van Gogh;7,992;2508;2017-06-22;en;Inglês;Animação, Drama, Mistério, História;Hugh Welchman;Um ano após o suicídio de Vincent Van Gogh, Armand Roulin encontra uma carta por ele enviada ao irmão Theo, que jamais chegou ao seu destino. Após conversar com o pai, carteiro que era amigo pessoal de Van Gogh, Armand é incentivado a entregar ele mesmo a correspondência. Desta forma, ele parte para a cidade francesa de Arles na esperança de encontrar algum contato com a família do pintor falecido. Lá, inicia uma investigação junto às pessoas que conheceram Van Gogh, no intuito de decifrar se ele realmente se matou.;https://image.tmdb.org/t/p/w500/pw72rhXTRbIel6iNWKHUqiIvcZm.jpg;94;2,4775
Cruella;8,0;9637;2021-05-26;en;Inglês;Comédia, Crime, Aventura;Craig Gillespie;Na Londres dos anos 70 em meio à revolução do punk rock, Estella, uma garota inteligente e criativa determinada a fazer um nome para si através de seus designs. Ela faz amizade com uma dupla de jovens ladrões e, juntos, constroem uma vida para si nas ruas de Londres. Um dia, o talento de Estella para a moda chama a atenção da Baronesa Von Hellman, uma lenda fashion que é devastadoramente chique e assustadora. Mas o relacionamento delas desencadeia um curso de eventos e revelações que farão com que Estella abrace seu lado rebelde e se torne a Cruella má, elegante e voltada para a vingança.;https://image.tmdb.org/t/p/w500/rRYNGhcAZlTfIUS7iFoF4H9iDbc.jpg;134;11,9132
