titulo;nota_media;votos;data_lancamento;idioma_original;idioma;generos;diretor;descricao;poster_url;duracao_minutos;popularidade
Psicose;8,421;10421;1960-06-22;en;Inglês;Terror, Thriller, Mistério;Alfred Hitchcock;Marion Crane é uma secretária que rouba 40 mil dólares da imobiliária onde trabalha para se casar e começar uma nova vida. Durante a fuga à carro, ela enfrenta uma forte tempestade, erra o caminho e chega em um velho hotel. O estabelecimento é administrado por um sujeito atencioso chamado Norman Bates, que nutre um forte respeito e temor por sua mãe. Marion decide passar a noite no local, sem saber o perigo que a cerca.;https://image.tmdb.org/t/p/w500/oC2iYT2on8c2iZnehah1l6AWqGu.jpg;109;8,7845
Um Estranho no Ninho;8,414;10831;1975-11-19;en;Inglês;Drama;Miloš Forman;Randle Patrick McMurphy é um malandro que, após ser preso, se finge de louco para ir a um hospital psiquiátrico e assim esquivar-se a uma porção de trabalhos forçados na prisão. Lá ele começa a influenciar os outros internos e começa a sofrer oposição da cruel e sádica enfermeira Mildred Ratched. Com forte poder persuasivo, McMurphy instaura uma reviravolta na clínica, não sabendo o que isto pode lhe custar.;https://image.tmdb.org/t/p/w500/nqz0NHRmbc57HZdZxi66shMzGKO.jpg;133;8,5498
Era Uma Vez na América;8,411;5651;1984-05-23;en;Inglês;Drama, Crime;Sergio Leone;Depois de crescer no gueto judeu de Nova Iorque e se destacar no crime organizado da Era da Proibição, um gângster de idade retorna a Brooklyn para enfrentar seu passado.;https://image.tmdb.org/t/p/w500/ojfEiNOBX7eqh4fDhRhNDTwb38R.jpg;229;9,1911
O Inferno de Gabriel;8,411;2426;2020-05-29;en;Inglês;Romance, Drama;Tosca Musk;Uma exploração intrigante de sedução, amor proibido e redenção, uma história cativante e apaixonada da fuga de um homem de seu próprio inferno pessoal, enquanto ele tenta ganhar o impossível: perdão e amor.;https://image.tmdb.org/t/p/w500/4qbYAHZkxfye1TI6HsQ8I6G3iiJ.jpg;120;2,4879
O Senhor dos Anéis: As Duas Torres;8,407;22700;2002-12-18;en;Inglês;Aventura, Fantasia, Ação;Peter Jackson;Após a captura de Merry e Pippy pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para destruir o anel e descobrem que estão sendo perseguidos pelo misterioso Gollum. Enquanto isso, Aragorn, o elfo e arqueiro Legolas e o anão Gimli partem para resgatar os hobbits sequestrados e chegam ao reino de Rohan, onde o rei Theoden foi vítima de uma maldição mortal de Saruman.;https://image.tmdb.org/t/p/w500/cmTFY35KK40yBX23Z9HhqU5uZ2O.jpg;180;17,6132
Homem-Aranha: No Aranhaverso;8,399;16240;2018-12-06;en;Inglês;Animação, Ação, Aventura, Ficção científica;Bob Persichetti;Miles Morales é um jovem negro do Brooklyn que se tornou o Homem-Aranha inspirado no legado de Peter Parker, já falecido. Entretanto, ao visitar o túmulo de seu ídolo em uma noite chuvosa, ele é surpreendido com a presença do próprio Peter, vestindo o traje do herói aracnídeo sob um sobretudo. A surpresa fica ainda maior quando Miles descobre que ele veio de uma dimensão paralela, assim como outras variações do Homem-Aranha.;https://image.tmdb.org/t/p/w500/ejqquyk7r3GLXPir62rksUmPKj5.jpg;117;15,1042
O Castelo Animado;8,4;10384;2004-09-09;ja;Japonês;Fantasia, Animação, Aventura;Hayao Miyazaki;A jovem Sophie trabalha na chapelaria de seu falecido pai em uma cidade monótona. Mas as coisas mudam de figura depois que um feitiço a transforma em uma mulher idosa.;https://image.tmdb.org/t/p/w500/1hTfaEWktMJPxCk5nZNtK7F86C9.jpg;120;9,9673
Guerra nas Estrelas: O Império Contra-Ataca;8,396;17509;1980-05-20;en;Inglês;Aventura, Ação, Ficção científica;Irvin Kershner;"As forças imperais comandadas por Darth Vader lançam um ataque contra os membros da resistência, que são obrigados a fugir. Enquanto isso Luke Skywalker tenta encontrar o Mestre Yoda, que poderá ensiná-lo a dominar a ""Força"" e torná-lo um cavaleiro jedi. No entanto, Darth Vader planeja levá-lo para o lado negro da ""Força"".";https://image.tmdb.org/t/p/w500/dLGT8b4Ut10z44uYLaip4QiwKta.jpg;124;6,2728
Esperança;8,4;789;2013-10-02;ko;Coreano;Drama;이준익;História de uma menina de 8 anos que enfrenta um estupro horrível que a danifica internamente e a afeta emocionalmente, tentando superar todos os obstáculos após o incidente com o bom apoio dos que a rodeiam.;https://image.tmdb.org/t/p/w500/m16XObBrqvhX895iwWzZ9Gi7cWY.jpg;122;4,5719
A Voz do Silêncio;8,4;4157;2016-09-17;ja;Japonês;Animação, Drama, Romance;Naoko Yamada;Nishimiya Shouko é uma estudante com deficiência auditiva. Durante o ensino fundamental, após se transferir para uma nova escola, Shouko passa a ser alvo de bullying e em pouco tempo precisa se transferir. O que ela não esperava é que alguns anos depois, Ishida Shouya, um dos valentões que tanto a fez sofrer no passado surgisse de novo em sua vida com um novo propósito.;https://image.tmdb.org/t/p/w500/haMUCn5bNgeKb2EkILvhYGoHXZX.jpg;130;9,6433
O Pianista;8,379;9575;2002-09-17;en;Inglês;Drama, Guerra;Roman Polanski;Um pianista judeu polonês vê Varsóvia mudar gradualmente à medida que a Segunda Guerra Mundial começa. Szpilman é forçado a ir para o Gueto de Varsóvia, mas depois é separado de sua família durante a Operação Reinhard. A partir deste momento até que os prisioneiros dos campos de concentração sejam liberados, Szpilman se esconde em vários locais entre as ruínas de Varsóvia.;https://image.tmdb.org/t/p/w500/zgtCY3VshbIv3UfNkdvVEShGmlE.jpg;150;7,6934
Whiplash: Em Busca da Perfeição;8,378;15741;2014-10-10;en;Inglês;Drama, Música;Damien Chazelle;Andrew sonha em ser o melhor baterista de sua geração. Ele chama a atenção do impiedoso mestre do jazz Terence Fletcher, que ultrapassa os limites e transforma seu sonho em uma obsessão, colocando em risco a saúde física e mental do jovem músico.;https://image.tmdb.org/t/p/w500/dtnzzmGOy2Ni89Ir4I1FTO40FJQ.jpg;107;13,7632
Um Anjo em Nossas Vidas;8,376;315;2020-10-19;en;Inglês;Drama, Família;Rob Diamond;Quando um criminoso insensível e doente cruza o caminho de uma menina cheia de fé, uma segunda chance surge para tocar o coração durante a temporada de festas.;https://image.tmdb.org/t/p/w500/mN40ZW5Fw9oMUaVfYcqcvqQ49bu.jpg;87;5,5337
O Inferno de Gabriel - Parte 2;8,376;1525;2020-07-31;en;Inglês;Romance, Drama;Tosca Musk;O professor Gabriel Emerson finalmente descobre a verdade sobre a identidade de Julia Mitchell, mas sua compreensão chega um momento tarde demais. Julia acabou de esperar que o respeitado especialista em Dante se lembrasse dela e não quer mais nada com ele. Gabriel pode reconquistar seu coração antes que ela encontre o amor nos braços de outra pessoa?;https://image.tmdb.org/t/p/w500/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg;106;1,2106
Primal: Tales of Savagery;8,376;339;2019-11-21;en;Inglês;Ação, Aventura, Animação, Drama;Genndy Tartakovsky;;https://image.tmdb.org/t/p/w500/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg;85;1,1783
Seven - Os Sete Crimes Capitais;8,376;21835;1995-09-22;en;Inglês;Crime, Mistério, Thriller;David Fincher;Quando, a ponto de se aposentar, o detetive William Somerset aborda o último caso com a ajuda do recém-transferido David Mills, eles descobrem uma série de assassinatos. Logo percebem que estão lidando com um assassino que tem como alvo pessoas que ele acredita representar os sete pecados capitais.;https://image.tmdb.org/t/p/w500/cNFCNa5jUYmFmSpCg7dJ3jWd22d.jpg;127;19,8672
O Inferno de Gabriel - Parte 3;8,373;1062;2020-11-19;en;Inglês;Romance, Drama;Tosca Musk;A parte final da adaptação para o cinema do romance erótico Gabriel's Inferno, escrito por um autor canadense anônimo sob o pseudônimo de Sylvain Reynard.;https://image.tmdb.org/t/p/w500/7Lu59Kxb7ndGI7CA942FeNOlLfB.jpg;102;2,586
A Origem;8,369;37645;2010-07-15;en;Inglês;Ação, Ficção científica, Aventura;Christopher Nolan;Cobb é um ladrão habilidoso que comete espionagem corporativa infiltrando-se no subconsciente de seus alvos durante o estado de sono. Impedido de retornar para sua família, ele recebe a oportunidade de se redimir ao realizar uma tarefa aparentemente impossível: plantar uma ideia na mente do herdeiro de um império. Para realizar o crime perfeito, ele conta com a ajuda do parceiro Arthur, o discreto Eames e a arquiteta de sonhos Ariadne. Juntos, eles correm para que o inimigo não antecipe seus passos.;https://image.tmdb.org/t/p/w500/9e3Dz7aCANy5aRUQF745IlNloJ1.jpg;148;23,2694
Radical;8,359;458;2023-10-19;es;Espanhol;Drama;Christopher Zalla;Um professor numa cidade fronteiriça mexicana vítima de negligência, corrupção e violência, tenta um novo método radical para desbloquear a curiosidade, o potencial dos seus alunos - e talvez até a sua genialidade.;https://image.tmdb.org/t/p/w500/eSatbygYZp8ooprBHZdb6GFZxGB.jpg;127;2,1324
Janela Indiscreta;8,353;6747;1954-08-01;en;Inglês;Thriller, Mistério;Alfred Hitchcock;Em Greenwich Village, Nova York, L.B. Jeffries, um fotógrafo profissional, está de molho em seu apartamento por ter quebrado a perna enquanto trabalhava. Como não tem muito o que fazer, fica bisbilhotando a vida dos seus vizinhos com um binóculo. Porém vê algumas coisas que o fazem suspeitar que um assassinato foi cometido.;https://image.tmdb.org/t/p/w500/jI2eOA4HQwD77yRv075I3G0ahJL.jpg;112;4,6077
Colegas de Classe;8,347;406;2016-02-20;ja;Japonês;Romance, Animação;中村章子;A história começa numa aula de música quando, durante o ensaio do coral para o festival escolar, Hikaru Kusakabe percebe que o estudante de honra da escola, Rihito Sajō, não está cantando. De início, ele pensa que o estudante simplesmente não gosta de cantar, até encontrar Rihito ensaiando numa sala vazia na escola. Sem pensar duas vezes, Kusakabe decide ajudar o colega a ensaiar o canto.;https://image.tmdb.org/t/p/w500/7byisQANRFHf9SC60n5PaLywuMa.jpg;61;2,3133
Céu e Inferno;8,347;992;1963-03-01;ja;Japonês;Drama, Crime, Mistério, Thriller;Akira Kurosawa;Em um momento crucial de sua vida financeira, Gondo, um executivo de uma empresa de calçados, recebe a notícia de que seu filho foi sequestrado, e o resgate exigido é uma quantia de dinheiro semelhante à que ele precisa para fechar um negócio importante. Gondo está disposto a pagar o resgate até perceber que os sequestradores cometeram um erro e levaram, na verdade, o filho do seu motorista. Agora ele precisa decidir se o dinheiro é mais importante do que a vida do garoto.;https://image.tmdb.org/t/p/w500/iRvFiy9JpNMQp9PUG2qvN0jfcdG.jpg;143;3,2214
O Silêncio dos Inocentes;8,347;16913;1991-02-14;en;Inglês;Crime, Drama, Thriller;Jonathan Demme;Clarice Starling é uma das melhores estudantes da academia de treinamento do FBI. Jack Crawford quer que Clarice entreviste o Dr. Hannibal Lecter, um psiquiatra brilhante e também um psicopata violento, que cumpre prisão perpétua por vários atos de assassinato e canibalismo. Crawford acredita que Lecter pode ter uma visão em um caso e que Starling, como uma mulher jovem e atraente, pode ser a isca para atraí-lo.;https://image.tmdb.org/t/p/w500/paGUSTwcFrAxpGV1hSQ2wsI28id.jpg;118;3,2429
Homem-Aranha: Através do Aranhaverso;8,3;7684;2023-05-31;en;Inglês;Animação, Ação, Aventura, Ficção científica;Justin K. Thompson;Miles Morales retorna para o próximo capítulo da saga do Aranhaverso, uma aventura épica que transportará o Homem-Aranha em tempo integral e amigável do bairro do Brooklyn através do Multiverso para unir forças com Gwen Stacy e uma nova equipe de Homens-Aranha para enfrentar com um vilão mais poderoso do que qualquer coisa que eles já encontraram.;https://image.tmdb.org/t/p/w500/4CwKj1fw33BXYzxvrpM3GlAhK4L.jpg;140;21,3664
A Lenda de Hei;8,341;392;2019-08-27;zh;Chinês;Animação, Fantasia, Ação;MTJJ;Depois que o avanço dos humanos destrói a floresta onde ele vive, um espírito felino chamado Hei embarca numa jornada para encontrar um novo lar.;https://image.tmdb.org/t/p/w500/vmlg5d0oF2Ehe19Cz83oEMKhM6e.jpg;101;3,2325
A Outra História Americana;8,337;11927;1998-07-01;en;Inglês;Drama;Tony Kaye;Derek busca vazão para suas agruras tornando-se líder de uma gangue de racistas. A violência o leva a um assassinato, e ele é condenado pelo crime. Três anos mais tarde, ele sai da prisão e tem que convencer seu irmão, que está prestes a assumir a liderança do grupo, a não trilhar o mesmo caminho.;https://image.tmdb.org/t/p/w500/nFou7IjLzU0cGC3iVwm2vYWZtGx.jpg;119;6,2717
The Quintessential Quintuplets: O Filme;8,335;414;2022-05-20;ja;Japonês;Animação, Comédia, Romance;神保昌登;Chega a época do festival escolar que marca também um dos últimos eventos do 3º ano do ensino médio. Fuutarou usa este evento para entregar uma resposta que as quíntuplas aguardam há muito tempo: quem é a escolhida dele.;https://image.tmdb.org/t/p/w500/fOTg158koIDobG9Dhh94unOuKd8.jpg;136;3,106
Princesa Mononoke;8,327;8426;1997-07-12;ja;Japonês;Aventura, Fantasia, Animação;Hayao Miyazaki;Um príncipe infectado por uma doença sabe que irá morrer, a menos que encontre a cura. Sendo a sua última esperança, segue para o leste e, durante o caminho, encontra animais da floresta lutando contra a sua exploração, liderados pela princesa Mononoke.;https://image.tmdb.org/t/p/w500/7EadOwHmyQgOnlghRiWBygNtnjl.jpg;134;9,0277
De Volta para o Futuro;8,322;20663;1985-07-03;en;Inglês;Aventura, Comédia, Ficção científica;Robert Zemeckis;Marty McFly, um típico adolescente americano dos anos 80, acidentalmente é enviado de volta ao ano de 1955 em um carro modificado para ser uma máquino do tempo, inventada por um cientista louco. Durante sua fantástica e maluca viagem no tempo, McFly tem que fazer com que seus futuros pais se encontrem e se apaixonem, para que assim ele possa ir de volta para o futuro.;https://image.tmdb.org/t/p/w500/JoAiVdWmz8XFA9rl43EtjT8ipn.jpg;115;16,1789
Um Dia Quente de Verão;8,32;341;1991-07-27;zh;Chinês;Crime, Drama, Romance;楊德昌;Baseado em uma história verídica sobre um conflito entre duas gangues de jovens, a namorada de um garoto de 14 anos entra em conflito com o chefe de uma gangue por uma razão pouco clara, até que finalmente o conflito atinge um clímax violento.;https://image.tmdb.org/t/p/w500/pTA6qhQiutlMED6vLlLaYHphpWa.jpg;237;2,3434
Contra-Ataque;8,315;715;2025-02-27;es;Espanhol;Ação, Aventura, Thriller;Chava Cartas;Uma missão de resgate faz surgir um novo inimigo, levando o capitão Guerrero e seus soldados de elite a enfrentar uma emboscada de um grupo criminoso.;https://image.tmdb.org/t/p/w500/iQsMy1xn8NG1VfVWFpEhhAsp4pi.jpg;85;16,4355
Robô Selvagem;8,313;5143;2024-09-12;en;Inglês;Animação, Ficção científica, Família;Chris Sanders;Um robô – unidade ROZZUM 7134, abreviadamente “Roz” – naufraga em uma ilha desabitada e deve aprender a se adaptar ao ambiente hostil, gradualmente construindo relacionamentos com os animais da ilha e se tornando o pai adotivo de um filhote de ganso órfão.;https://image.tmdb.org/t/p/w500/cWsd33Nwp3tgYB5LMMadl3qVMKh.jpg;101;32,806
Josee, o Tigre e o Peixe;8,313;514;2020-12-25;ja;Japonês;Animação, Drama, Romance;タムラコータロー;A história foca na relação entre Tsuneo e Josee. Tsuneo é um estudante universitário e Josee é uma adolescente que, devido a sua incapacidade de andar, raramente sai de casa sozinha.;https://image.tmdb.org/t/p/w500/vt3Du5XM2WDOweWyARNqERq1FfK.jpg;98;3,2831
Viver;8,31;1211;1952-10-09;ja;Japonês;Drama;Akira Kurosawa;Kanji Watanabe é um homem de meia-idade que trabalha no mesmo cargo burocrático e monótono há décadas. Ao descobrir que tem câncer, ele começa a procurar o sentido de sua vida.;https://image.tmdb.org/t/p/w500/35M7sXeZeOAa35CwxPTgUME1B9V.jpg;143;3,6609
Perfect Blue;8,3;2848;1998-02-28;ja;Japonês;Animação, Thriller;今敏;"Mima Kirigoe é membro de uma banda de música pop japonesa (J-Pop), chamada ""CHAM!"", que decide deixar a banda para se dedicar à carreira de atriz. Alguns fãs ficam descontentes com a repentina mudança de carreira, pois Mima, sendo um ídolo pop, é vista como uma menina inocente e angelical. Conforme avança em sua nova carreira, Mima mergulha em um intenso drama psicológico no qual fantasia e realidade se confundem colocando em dúvida sua ética moral.";https://image.tmdb.org/t/p/w500/79vujbsWEbX4dzffBV541QXN6sf.jpg;85;5,5519
Sociedade dos Poetas Mortos;8,301;11721;1989-06-02;en;Inglês;Drama;Peter Weir;"Em 1959 na Welton Academy, uma tradicional escola preparatória, um ex-aluno se torna o novo professor de literatura, mas logo seus métodos de incentivar os alunos a pensarem por si mesmos cria um choque com a ortodoxa direção do colégio, principalmente quando ele fala aos seus alunos sobre a ""Sociedade dos Poetas Mortos"".";https://image.tmdb.org/t/p/w500/8LR4cLqPNfTx2eiTsd7xsNOG3Rf.jpg;128;10,3293
O Profissional;8,301;15293;1994-09-14;fr;Francês;Crime, Drama, Ação;Luc Besson;Mathilda tem apenas 12 anos de idade mas já conhece o lado obscuro da vida: seu pai abusivo guarda drogas para policiais corruptos e a mãe a negligencia. O vizinho Léon gosta de cuidar de plantas, mas é um assassino de aluguel para o gângster Tony. Quando sua família é assassinada por um agente antidrogas desonesto, Mathilda se une a um relutante Léon para aprender o negócio mortal e vingar a morte da família.;https://image.tmdb.org/t/p/w500/lNyuX5XibtzRImuhACGy42jHXIs.jpg;111;12,0567
O Grande Ditador;8,296;3486;1940-10-15;en;Inglês;Comédia, Guerra;Charlie Chaplin;Depois de servir com dedicação na 1ª Guerra, um barbeiro judeu passa anos em um hospital do exército, sem saber da ascensão de um ditador fascista antissemita, que se parece muito com ele. Ao voltar para o seu bairro, ele fica atordoado com as mudanças brutais e se une a uma menina para se rebelar.;https://image.tmdb.org/t/p/w500/Mjc994AW1r5hcXAh0PFjTdd7iY.jpg;125;4,0081
Crepúsculo dos Deuses;8,3;2703;1950-08-10;en;Inglês;Drama;Billy Wilder;Uma estrela veterana do cinema mudo se recusa a aceitar que seu reinado acabou. Então ela contrata um jovem roteirista para ajudá-la a reconquistar o sucesso. O escritor acredita que pode manipular a atriz, mas percebe que está redondamente enganado.;https://image.tmdb.org/t/p/w500/nOgsN1JibIKsb0tr8w2dCpYnU1R.jpg;110;3,438
Dedicada a minha ex;8,291;510;2019-11-01;es;Espanhol;Drama, Comédia;Jorge Ulloa;;https://image.tmdb.org/t/p/w500/tF7AXdCygfZ2XHLHx7K2xqnkhHI.jpg;94;0,6699
Nós Que Nos Amávamos Tanto;8,286;601;1974-12-21;it;Italiano;Drama, Comédia;Ettore Scola;Três italianos, Gianni (Vittorio Gassman), Nicola (Stefano Satta Flores) e Antonio (Nino Manfredi) se tornam muito amigos durante o ano de 1944 enquanto combatem os nazistas. Cheio de ilusões, eles se estabelecem depois da guerra. Os três amigos idealistas precisam lidar com a inevitável desilusões da vida no pós-guerra da Itália.;https://image.tmdb.org/t/p/w500/jsjfvG1971tCUPtvj1dNSPWNzST.jpg;124;1,108
Violet Evergarden: O Filme;8,285;452;2020-09-18;ja;Japonês;Animação, Fantasia, Romance, Drama;石立太一;"Vários anos se passaram desde o fim da Grande Guerra. À medida que a torre de rádio em Leidenschaftlich continua a ser construída, os telefones logo se tornarão mais relevantes, levando a um declínio na demanda por ""Autômatas da Auto-memória"". Mesmo assim, Violet Evergarden continua ganhando fama após seu sucesso constante com a escrita de cartas. No entanto, às vezes, a única coisa que você deseja é uma coisa que não aparece. Violet Evergarden Movie segue Violet enquanto ela continua a compreender o conceito de emoção e o significado do amor. Ao mesmo tempo, ela busca um vislumbre de esperança de que o homem que uma vez disse a ela: ""Eu te amo"", possa ainda estar vivo, mesmo depois de tantos anos que se passaram.";https://image.tmdb.org/t/p/w500/dXQ0UVNJTFi7YhDgchFJJCBOxQO.jpg;140;3,0217
Era uma Vez no Oeste;8,3;4565;1968-12-21;it;Italiano;Drama, Faroeste;Sergio Leone;Enquanto os construtores ferroviários marcham imparavelmente através do deserto de Arizona a caminho do mar, Jill chega à pequena cidade de Flagstone com a intenção de começar uma nova vida.;https://image.tmdb.org/t/p/w500/zaCMbBMT9v3lGBXT4RAOkWqpb4h.jpg;166;14,1268
Para a Floresta da Luz dos Vagalumes;8,28;1151;2011-09-17;ja;Japonês;Romance, Animação, Fantasia;大森貴弘;A história de Hotarubi no Mori e se foca em uma pequena garota chamada Hotaru. Ela se perde em uma floresta que popularmente é dita como uma floresta em que se reside vários espirítos. Na floresta Hotaru se depara com um jovem utilizando uma máscara de raposa. Ele se diz um espiríto com uma maldição que no momento que um humano tocá-lo ele irá desaparecer.”;https://image.tmdb.org/t/p/w500/679ZPF55mEPiHnzTIW1A5dmo7G2.jpg;45;0,0032
Tempos Modernos;8,28;3839;1936-02-05;en;Inglês;Comédia, Drama, Romance;Charlie Chaplin;Sujeito ao ritmo de produção infernal da fábrica, o Vagabundo tem um súbito colapso nervoso. Do hospital, ele vai para a prisão e fica desempregado, sempre cercado pela industrialização moderna. Certo dia, ele se depara com uma menina órfã.;https://image.tmdb.org/t/p/w500/rKepEXpgdowaIFbVcGIHmZ2H20J.jpg;87;2,4402
A Felicidade Não Se Compra;8,3;4526;1946-12-20;en;Inglês;Drama, Família, Fantasia;Frank Capra;Em Bedford Falls, no Natal, George Bailey, que sempre ajudou a todos, pensa em se suicidar saltando de uma ponte, em razão das maquinações de Henry Potter, o homem mais rico da região. Mas tantas pessoas oram por ele que Clarence, um anjo que espera há 220 anos para ganhar asas, é mandado à Terra para tentar fazer George mudar de ideia, mostrando sua importância para todos através de flashbacks.;https://image.tmdb.org/t/p/w500/u9oQTcUTcWxJwv60JkGVjIBzfuB.jpg;130;7,2083
Given: O Filme;8,276;404;2020-08-22;ja;Japonês;Animação, Drama, Música, Romance;Hikaru Yamaguchi;"Ao ouvir o canto de Mafuyu Sato, Ritsuka Uenoyama fica sem chão e decide convidá-lo para fazer parte de sua banda, composta por seus colegas Haruki Nakayama e Akihiko Kaji. Agora batizada de ""Given"", o primeiro show da banda é um grande sucesso. Emocionado, Ritsuka percebe o que sente por Mafuyu e se declara pra ele, tornando-se seu namorado. Enquanto isso, Haruki ama Akihiko em segredo há muitos anos, mas este está em um complicado relacionamento com seu colega de quarto, o violinista Ugetsu Murata. O triângulo amoroso de Haruki, Akihiko e Ugetsu vai entrar em rota de colisão na tela dos cinemas.";https://image.tmdb.org/t/p/w500/1bVbQatuLoj8IS0tOtUu7PlQ5kI.jpg;60;2,3248
Neon Genesis Evangelion: O Fim do Evangelho;8,3;1697;1997-07-19;ja;Japonês;Animação, Ficção científica, Ação, Drama;鶴巻和哉;"Um final alternativo para a série de anime ""Neon Genesis Evangelion"". Em The End of Evangelion, A SEELE ordena um ataque à NERV para destruir os EVAs antes que Gendo consiga provocar o Terceiro Impacto e a união das almas humanas.";https://image.tmdb.org/t/p/w500/984vnfPmcerjkz8aEbqulbc2X32.jpg;97;6,0997
Apocalypse Now;8,273;8543;1979-05-19;en;Inglês;Drama, Guerra;Francis Ford Coppola;Durante a guerra do Vietnã, o Capitão Willard recebe como missão ir ao Camboja para assassinar um Boina Verde renegado, o Coronel Kurtz. Este vive no meio de uma tribo local e é venerado como um deus. Mas, chegado ao seu destino, o Capitão Willard descobre que a sua missão é bem diferente do que imaginara.;https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg;196;8,4599
Intocáveis;8,272;17697;2011-11-02;fr;Francês;Drama, Comédia;Éric Toledano;Quando um ex-presidiário é contratado para cuidar de um aristocrata francês, seu novo trabalho se torna uma aventura imprevisível. Acelerar uma Maserati em Paris, seduzir mulheres, e fazer parapente sobre os Alpes é apenas o começo, pois ele vira o mundo da classe alta de Paris de cabeça para baixo.;https://image.tmdb.org/t/p/w500/2tAzFC2xUAXEx96l5Xixb6WLAyO.jpg;112;13,4952
Era uma vez um Estúdio;8,271;398;2023-09-24;en;Inglês;Animação, Família, Fantasia, Comédia;Trent Correy;Um reencontro inesquecível de personagens adorados dos 100 anos da Disney Animation.;https://image.tmdb.org/t/p/w500/s9kAmpg4F95vJXx1BD3T7zC9oYT.jpg;9;3,1301
Luzes da Cidade;8,264;2284;1931-02-06;en;Inglês;Comédia, Drama, Romance;Charlie Chaplin;Um vagabundo amável se apaixona por uma mulher cega que vende flores nas ruas e o confunde com um milionário. Ao descobrir que ela e a avó serão despejadas, o vagabundo faz uma série de tentativas para lhes proporcionar o dinheiro de que precisam, mas todas terminam em um fracasso humilhante.;https://image.tmdb.org/t/p/w500/s0T1MpsDcQCmqOTJ47zASE1PevI.jpg;87;2,4924
A Um Passo da Liberdade;8,3;510;1960-03-18;fr;Francês;Drama, Thriller, Crime;Jacques Becker;Quatro detentos estão planejando fugir da prisão quando outro prisioneiro, Claude Gaspard, é transferido para a cela deles. Eles arriscam e resolvem compartilhar seu plano com o recém-chegado. Ao longo de três dias, os cinco homens começam a jornada, mas a fuga está longe de estar garantida.;https://image.tmdb.org/t/p/w500/aPbc8vnGvaiFpnIbJdbWNH8ttpF.jpg;126;1,8664
Milagre na Cela 7;8,258;4472;2019-10-10;tr;Turco;Drama;Mehmet Ada Öztekin;Separado de sua filha, um homem com deficiência intelectual precisa provar sua inocência ao ser preso pela morte da filha de um comandante.;https://image.tmdb.org/t/p/w500/q5Sj4pMaKpdMyywQIJhexNvCZYz.jpg;132;4,1241
O Rei Leão;8,258;18839;1994-06-15;en;Inglês;Família, Animação, Drama;Roger Allers;Mufasa, o Rei Leão, e a rainha Sarabi apresentam ao reino o herdeiro do trono, Simba. O recém-nascido recebe a bênção do sábio babuíno Rafiki, mas ao crescer é envolvido nas artimanhas de seu tio Scar, o invejoso e maquiavélico irmão de Mufasa, que planeja livrar-se do sobrinho e herdar o trono.;https://image.tmdb.org/t/p/w500/8aIvm8OaJISOpVTt7rMIh7X35G5.jpg;89;16,2541
Glória Feita de Sangue;8,258;3053;1957-10-25;en;Inglês;Guerra, Drama, História;Stanley Kubrick;Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.;https://image.tmdb.org/t/p/w500/qUC0iHPh8NDynqszDKNjwID205b.jpg;88;3,8418
A Lenda do Pianista do Mar;8,254;2326;1998-10-28;it;Italiano;Drama, Música;Giuseppe Tornatore;Um garoto nasce em pleno alto-mar, ganhando o nome do ano em que nasceu: 1900. A criança cresce num mundo encantado de fortes ventos tempestuosos e cobertas balançando, conhecendo toda a existência disponível a seu toque nos confins do transatlântico em que nasceu. Já crescido, seu talento natural no piano chama a atenção da lenda do jazz Jelly Roll Morton, que sobe a bordo para desafiar 1900 para um duelo. Indiferente com sua súbita notoriedade, 1900 mantém uma fixação pelo mar, sendo sempre seduzido pelos sons do oceano.;https://image.tmdb.org/t/p/w500/1nAzfbocwtEyvuFVIAycU3xeDrQ.jpg;170;3,796
Oldboy;8,251;9088;2003-11-21;ko;Coreano;Drama, Thriller, Mistério, Ação;Park Chan-wook;Dae-Su é raptado e mantido em cativeiro por 15 anos num quarto de hotel, sem qualquer contato com o mundo externo. Quando ele é inexplicavelmente solto, descobre que é acusado pelo assassinato da esposa e embarca numa missão obsessiva por vingança.;https://image.tmdb.org/t/p/w500/o4pkvVh8BPFOawIJ79dgoD5wvvZ.jpg;120;14,3974
Como caído del cielo;8,246;358;2019-12-24;es;Espanhol;Comédia, Drama, Música;Pepe Bojórquez;;https://image.tmdb.org/t/p/w500/xg6QZdlHrq2dtSK8cfnQQMnmpeY.jpg;112;0,9183
Taylor Swift: Reputation Stadium Tour;8,246;407;2018-12-31;en;Inglês;Música;Paul Dugdale;Taylor Swift sobe ao palco em Dallas no Reputation Stadium Tour para uma noite de música, recordações e mágica visual.;https://image.tmdb.org/t/p/w500/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg;125;1,1393
